@relation tutorial3.arff

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute pacman_direction {Stop,East,West,South,North}
@attribute borrar2 {True,False}
@attribute remaining_ghost1 {True,False}
@attribute remaining_ghost2 {True,False}
@attribute remaining_ghost3 {True,False}
@attribute remaining_ghost4 {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
7, 4, North, South, East, West, East, False, True, True, False, False, 1, 10, 100, 100, 7, 5, 1, 8, 5, 1, 7, 1, 1, 13, 465, East
7, 5, None, South, East, West, North, False, False, True, False, False, 100, 10, 100, 100, 7, 5, 1, 9, 5, 1, 7, 1, 1, 12, 664, North
7, 5, None, South, East, West, North, False, False, True, False, False, 100, 9, 100, 100, 1, 1, 1, 8, 5, 1, 7, 1, 1, 12, 663, Stop
8, 5, North, South, East, West, East, False, False, True, False, False, 100, 9, 100, 100, 1, 1, 2, 8, 5, 1, 7, 1, 1, 11, 662, East
8, 6, North, South, East, None, North, False, False, True, False, False, 100, 8, 100, 100, 1, 1, 2, 8, 5, 1, 7, 1, 1, 10, 661, North
8, 7, North, South, East, West, North, False, False, True, False, False, 100, 8, 100, 100, 1, 1, 1, 8, 5, 1, 7, 1, 1, 9, 660, North
8, 8, North, South, East, West, North, False, False, True, False, False, 100, 8, 100, 100, 1, 1, 1, 7, 5, 1, 7, 1, 1, 8, 659, North
8, 9, None, South, East, West, North, False, False, True, False, False, 100, 8, 100, 100, 1, 1, 1, 8, 5, 1, 7, 1, 1, 7, 658, North
8, 9, None, South, East, West, North, False, False, True, False, False, 100, 8, 100, 100, 1, 1, 1, 8, 5, 1, 7, 1, 1, 7, 657, Stop
7, 9, None, South, East, West, West, False, False, True, False, False, 100, 8, 100, 100, 1, 1, 1, 7, 5, 1, 7, 1, 1, 8, 656, West
6, 9, North, South, East, West, West, False, False, True, False, False, 100, 6, 100, 100, 1, 1, 2, 7, 5, 1, 7, 1, 1, 9, 655, West
5, 9, North, South, East, West, West, False, False, True, False, False, 100, 4, 100, 100, 1, 1, 2, 8, 5, 1, 7, 1, 1, 10, 654, West
4, 9, None, South, East, West, West, False, False, True, False, False, 100, 2, 100, 100, 1, 1, 2, 9, 5, 1, 7, 1, 1, 11, 653, West
3, 9, None, None, None, None, West, False, False, False, False, False, 100, 100, 100, 100, 1, 1, 3, 9, 5, 1, 7, 1, 1, 12, 852, West
